mandi_code,mandi_name,state,district,latitude,longitude,commodities,commission_rate
HP001,Solan,Himachal Pradesh,Solan,30.9045,77.0967,"Tomato|Apple|Peas|Capsicum",0.04
HP002,Shimla,Himachal Pradesh,Shimla,31.1048,77.1734,"Apple|Tomato|Cherry|Plum",0.04
HP003,Mandi,Himachal Pradesh,Mandi,31.7084,76.9318,"Apple|Rice|Wheat|Tomato",0.035
HP004,Kullu,Himachal Pradesh,Kullu,31.9579,77.1095,"Apple|Plum|Cherry|Tomato",0.04
HP005,Bilaspur,Himachal Pradesh,Bilaspur,31.3383,76.7559,"Wheat|Rice|Tomato|Onion",0.035
CH001,Chandigarh,Chandigarh,Chandigarh,30.7333,76.7794,"Tomato|Potato|Onion|Wheat|Rice",0.05
KA001,Kushalnagar,Karnataka,Kodagu,12.4567,75.9588,"Coffee|Pepper|Cardamom|Rice",0.03
KA002,Mysore,Karnataka,Mysore,12.2958,76.6394,"Coffee|Rice|Ragi|Coconut",0.04
KA003,Hassan,Karnataka,Hassan,13.0068,76.1003,"Coffee|Arecanut|Rice|Coconut",0.035
KA004,Mangalore,Karnataka,Dakshina Kannada,12.9141,74.8560,"Coffee|Pepper|Cashew|Coconut",0.04
PB001,Ludhiana,Punjab,Ludhiana,30.9010,75.8573,"Wheat|Rice|Maize|Potato",0.04
PB002,Amritsar,Punjab,Amritsar,31.6340,74.8723,"Wheat|Rice|Potato|Onion",0.04
PB003,Jalandhar,Punjab,Jalandhar,31.3260,75.5762,"Wheat|Rice|Potato|Tomato",0.035
PB004,Patiala,Punjab,Patiala,30.3398,76.3869,"Wheat|Rice|Maize|Cotton",0.04
PB005,Bathinda,Punjab,Bathinda,30.2110,74.9455,"Wheat|Cotton|Rice|Mustard",0.035
AP001,Guntur,Andhra Pradesh,Guntur,16.3067,80.4365,"Rice|Chilli|Cotton|Tobacco",0.04
AP002,Vijayawada,Andhra Pradesh,Krishna,16.5062,80.6480,"Rice|Coconut|Mango|Chilli",0.04
